Primary_ID	ChEBI Name
CHEBI:15636	(6R)-5,10-methylenetetrahydrofolate(2-)
CHEBI:15637	10-formyltetrahydrofolic acid
CHEBI:15638	(6R)-5,10-methenyltetrahydrofolic acid
CHEBI:15639	5-formimidoyltetrahydrofolic acid
CHEBI:15640	5-formyltetrahydrofolic acid
CHEBI:15641	5-methyltetrahydrofolic acid
CHEBI:15642	4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin
CHEBI:15643	(6R)-D-erythro-6,7-dihydrobiopterin
CHEBI:15644	(S)-NADHX(1+)
CHEBI:15645	(6S)-6-hydroxyhyoscyamine
CHEBI:15646	20-hydroxy-leukotriene B4
CHEBI:15647	leukotriene B4
CHEBI:15648	(6aR,11aR)-3,9-dihydroxypterocarpan
CHEBI:15649	3,6,9-trihydroxypterocarpan
CHEBI:15650	leukotriene E4
CHEBI:15651	leukotriene A4
CHEBI:15652	5'-xanthylic acid
CHEBI:15653	(9Z,13S,15Z)-12,13-epoxyoctadeca-9,11,15-trienoic acid
CHEBI:15654	(9Z,13S)-12,13-epoxyoctadeca-9,11-dienoic acid
CHEBI:15655	13(S)-HPODE
CHEBI:15657	(11S)-11-hydroperoxylinoleic acid
CHEBI:15658	7(S),8(S)-DiHODE
CHEBI:15659	(E)-2-(2-furyl)-3-(5-nitro-2-furyl)acrylamide
CHEBI:15660	(Z)-2-(2-furyl)-3-(5-nitro-2-furyl)acrylamide
CHEBI:15661	(2E)-2-(methoxycarbonylmethyl)but-2-enedioic acid
CHEBI:15662	(2E)-2,6-dimethylocta-2,7-diene-1,6-diol
CHEBI:15663	(2E)-3-(methoxycarbonyl)pent-2-enedioic acid
CHEBI:15664	(2E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate
CHEBI:15665	(4-hydroxyphenyl)acetaldehyde oxime
CHEBI:15666	(E)-(4-hydroxyphenyl)acetaldehyde oxime
CHEBI:15667	(Z)-(4-hydroxyphenyl)acetaldehyde oxime
CHEBI:15668	(1E)-4-oxobut-1-ene-1,2,4-tricarboxylic acid
CHEBI:15669	trans-cinnamate
CHEBI:15670	(E)-glutaconic acid
CHEBI:15671	L-tartaric acid
CHEBI:15672	D-tartaric acid
CHEBI:15673	meso-tartaric acid
CHEBI:15674	2,3-dihydroxybutanedioic acid
CHEBI:15675	(2R)-1-aminopropan-2-ol
CHEBI:15676	allantoin
CHEBI:15677	(R)-(-)-allantoin
CHEBI:15678	(S)-(+)-allantoin
CHEBI:15679	alpha-N-acetylneuraminyl-(2->6)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide
CHEBI:15681	alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1')-ceramide
CHEBI:15682	(N(omega)-L-arginino)succinic acid
CHEBI:15683	(R)-10-hydroxyoctadecanoate
CHEBI:15684	(R)-2,3-dihydroxy-3-methylbutanoic acid
CHEBI:15685	L-2-succinylamino-6-oxoheptanedioate(3-)
CHEBI:15686	(R)-acetoin
CHEBI:15687	(S)-acetoin
CHEBI:15688	acetoin
CHEBI:15689	2,3-dihydroxy-3-methylbutanoic acid
CHEBI:15690	20-hydroxy-3-oxopregn-4-en-21-al
CHEBI:15692	3'-demethylstaurosporine
CHEBI:15693	aldose
CHEBI:15694	(R)-S-lactoylglutathione
CHEBI:15695	D-4-hydroxyphenylglycine
CHEBI:15696	beta-D-glucosyl-(1->4)-N-acetyl-D-glucosaminyl undecaprenyl diphosphate
CHEBI:15698	2'-deoxycytidine
CHEBI:15699	L-homoserine
CHEBI:15700	dTDP-alpha-D-glucose
CHEBI:15701	peptidylproline (omega=180)
CHEBI:15702	terephthalic acid
CHEBI:15703	alpha-maltose 6'-phosphate
CHEBI:15704	6-alkylamino-7-beta-D-glucosylpurine
CHEBI:15705	L-alpha-amino acid
